rmcase,type,adult,month,whtdy,wchma,nmcrb
427,1,1,2,22,4,2
427,1,1,2,29,4,3
427,1,1,2,30,4,5
427,1,1,3,4,4,2
427,1,1,3,5,4,1
430,1,1,2,14,4,2
430,1,1,2,21,4,4
430,1,1,2,32,4,3
432,1,1,2,32,6,5
432,1,1,2,32,6,5
441,1,1,3,32,4,2
441,1,1,3,32,4,2
441,1,1,3,32,4,5
445,1,1,3,1,4,1
445,1,1,3,3,4,6
450,1,1,3,29,9,4
452,1,1,4,32,15,3
456,1,1,2,4,3,2
482,1,1,2,32,8,4
482,1,1,2,32,8,4
488,1,1,2,6,7,2
488,1,1,2,13,7,2
488,1,1,4,32,7,4
489,1,1,2,13,3,4
489,1,1,2,14,3,4
489,1,1,2,15,3,4
489,1,1,2,20,3,4
497,1,1,2,7,7,5
497,1,1,2,9,7,5
497,1,1,2,10,7,3
497,1,1,2,13,7,5
507,1,1,2,32,15,6
518,1,1,3,13,4,3
522,1,1,3,5,10,5
532,1,1,2,32,9,5
536,1,1,3,24,4,5
541,1,1,3,32,4,5
541,1,1,3,32,4,5
541,1,1,3,32,4,5
541,1,1,3,32,4,5
558,1,1,3,32,3,1
560,1,1,2,1,3,5
560,1,1,2,2,3,5
560,1,1,2,3,3,5
569,1,1,2,32,12,4
570,1,1,2,6,3,5
570,1,1,2,7,3,5
570,1,1,2,8,3,5
570,1,1,2,9,3,5
577,1,1,4,3,8,3
579,1,1,3,32,9,2
579,1,1,3,32,9,2
581,1,1,4,32,4,3
587,1,1,2,16,3,1
591,1,1,2,32,4,3
591,1,1,2,32,4,3
591,1,1,2,32,4,3
596,1,1,2,32,9,5
596,1,1,2,32,9,5
596,1,1,2,32,9,10
596,1,1,3,32,9,20
596,1,1,4,32,9,12
596,1,1,4,32,9,15
596,1,1,4,32,9,25
600,1,1,2,32,6,4
600,1,1,2,32,6,4
600,1,1,2,32,6,4
600,1,1,3,32,6,4
600,1,1,3,32,6,4
600,1,1,3,32,6,4
600,1,1,4,3,6,2
604,1,1,2,32,5,5
604,1,1,3,32,5,4
609,1,1,6,32,4,1
631,1,1,4,32,15,5
633,1,1,3,21,7,5
639,1,1,2,32,4,1
639,1,1,3,32,4,1
639,1,1,3,32,4,1
647,1,1,2,32,5,2
647,1,1,2,32,5,3
651,1,1,2,4,10,2
656,1,1,2,9,9,5
656,1,1,2,30,9,5
659,1,1,2,32,6,2
659,1,1,2,32,6,4
659,1,1,3,32,6,1
660,1,1,2,32,5,3
660,1,1,4,32,15,1
662,1,1,2,1,15,1
663,1,1,2,28,6,4
664,1,1,3,32,15,4
665,1,1,3,20,15,5
666,1,1,2,22,4,5
668,1,1,2,32,15,4
668,1,1,3,32,4,5
673,1,1,3,11,15,3
675,1,1,2,28,4,4
681,1,1,2,27,15,4
687,1,1,3,28,5,5
687,1,1,3,31,5,5
687,1,1,4,1,5,5
687,1,1,4,3,5,5
687,1,1,4,4,5,5
688,1,1,2,7,15,3
690,1,1,6,32,6,3
691,1,1,3,19,4,4
692,1,1,3,32,4,3
692,1,1,3,32,4,3
694,1,1,2,32,3,5
694,1,1,3,32,4,4
694,1,1,3,32,4,4
694,1,1,3,32,4,4
694,1,1,3,32,4,4
695,1,1,3,12,15,6
703,1,1,2,32,9,4
707,1,1,2,32,4,3
716,1,1,4,1,10,4
719,1,1,6,32,4,4
720,1,1,6,32,4,3
723,1,1,2,32,13,1
723,1,1,2,32,13,2
723,1,1,3,32,13,2
725,1,1,4,30,5,4
734,1,1,6,32,9,5
734,1,1,6,32,9,5
746,1,1,4,32,4,5
747,1,1,2,32,4,5
747,1,1,2,32,4,5
747,1,1,3,32,4,5
748,1,1,2,15,9,5
751,1,1,2,16,4,1
761,1,1,2,32,4,1
761,1,1,2,32,4,2
761,1,1,2,32,4,2
761,1,1,2,32,4,2
761,1,1,2,32,4,2
763,1,1,6,32,15,1
764,1,1,3,5,15,5
768,1,1,2,32,4,4
768,1,1,2,32,4,4
768,1,1,3,32,4,4
770,1,1,2,32,15,3
779,1,1,2,32,15,3
780,1,1,3,24,15,1
785,1,1,2,5,5,5
786,1,1,3,32,7,1
786,1,1,3,32,7,1
791,1,1,3,32,6,1
793,1,1,6,32,6,4
793,1,1,6,32,6,4
796,1,1,2,32,15,6
798,1,1,2,2,15,12
802,1,1,2,32,10,3
819,1,1,3,32,4,4
820,1,1,4,32,15,20
825,1,1,4,2,6,3
829,1,1,3,32,3,5
831,1,1,2,32,15,3
838,1,1,2,32,5,3
840,1,1,2,32,15,4
840,1,1,3,32,15,4
840,1,1,3,32,15,4
841,1,1,3,29,4,5
845,1,1,3,32,10,3
855,1,1,4,32,7,20
861,1,1,3,32,9,3
866,1,1,6,32,15,1
869,1,1,2,32,4,1
877,1,1,6,32,7,5
879,1,1,2,32,6,10
879,1,1,3,4,6,10
879,1,1,3,13,6,20
879,1,1,6,32,6,12
879,1,1,6,32,6,15
885,1,1,2,32,4,5
885,1,1,3,32,4,5
885,1,1,4,32,4,5
889,1,1,6,32,6,4
890,1,1,3,32,15,5
895,1,1,6,32,5,6
897,1,1,2,32,7,5
900,1,1,2,32,4,3
902,1,1,2,32,5,1
902,1,1,2,32,5,1
902,1,1,2,32,5,1
922,1,1,2,32,3,3
935,2,1,6,32,4,50
936,2,1,2,2,3,5
936,2,1,2,22,4,5
936,2,1,3,12,3,4
936,2,1,3,29,4,2
937,2,1,3,7,7,2
938,2,1,2,1,4,5
944,2,1,2,21,4,5
944,2,1,2,23,4,5
944,2,1,2,24,4,5
944,2,1,3,6,4,5
944,2,1,3,12,4,5
944,2,1,3,18,4,5
944,2,1,3,19,4,5
944,2,1,3,20,4,2
945,2,1,3,8,5,4
946,2,1,4,15,15,2
947,2,1,2,13,3,4
947,2,1,2,14,3,5
947,2,1,2,15,3,4
948,2,1,2,4,15,4
949,2,1,6,32,15,4
950,2,1,2,15,15,3
951,2,1,4,32,15,5
952,2,1,3,26,4,4
953,2,1,3,32,13,4
954,2,1,3,32,4,3
954,2,1,3,32,4,4
954,2,1,3,32,4,5
954,2,1,3,32,4,5
954,2,1,3,32,4,5
954,2,1,3,32,4,5
954,2,1,3,32,4,5
954,2,1,3,32,4,5
954,2,1,4,32,4,5
954,2,1,4,32,4,5
954,2,1,6,32,4,4
955,2,1,2,32,4,4
955,2,1,2,32,4,4
955,2,1,2,32,4,4
955,2,1,2,32,4,4
955,2,1,3,32,4,4
955,2,1,3,32,4,4
955,2,1,3,32,4,4
955,2,1,3,32,4,4
955,2,1,4,32,4,4
955,2,1,4,32,4,4
955,2,1,4,32,4,4
955,2,1,4,32,4,4
955,2,1,4,32,4,4
956,2,1,2,32,7,5
956,2,1,3,32,7,5
956,2,1,3,32,7,5
957,2,1,3,32,6,4
957,2,1,4,32,6,3
957,2,1,4,32,6,3
958,2,1,3,4,5,4
958,2,1,3,32,5,3
959,2,1,4,32,10,1
960,2,1,3,32,9,4
961,2,1,6,32,4,4
962,2,1,2,32,5,4
963,2,1,2,32,4,5
963,2,1,3,32,4,5
963,2,1,4,32,4,5
964,2,1,2,32,6,5
964,2,1,2,32,6,5
964,2,1,3,32,6,5
964,2,1,4,2,6,5
965,2,1,3,32,4,10
966,2,1,2,32,4,5
966,2,1,2,32,4,5
966,2,1,3,32,4,5
966,2,1,3,32,4,5
966,2,1,4,32,4,5
967,2,1,3,32,8,2
967,2,1,3,32,8,3
968,2,1,3,32,6,1
968,2,1,3,32,6,3
968,2,1,3,32,6,3
968,2,1,3,32,6,4
969,2,1,3,32,4,4
970,2,1,2,32,8,1
971,2,1,6,32,6,5
972,2,1,3,32,4,5
972,2,1,3,32,4,5
973,2,1,3,32,9,4
973,2,1,3,32,9,5
974,2,1,2,32,4,2
974,2,1,3,32,4,3
974,2,1,3,32,4,4
974,2,1,3,32,4,4
975,2,1,2,32,4,21
976,2,1,2,32,6,8
977,2,1,3,19,4,5
977,2,1,3,21,4,5
977,2,1,3,32,4,15
978,2,1,2,32,6,5
979,2,1,2,4,6,2
979,2,1,2,5,6,3
979,2,1,3,32,6,1
980,2,1,2,32,4,4
980,2,1,3,32,4,3
980,2,1,4,32,4,3
981,2,1,3,32,8,2
982,2,1,2,5,3,15
982,2,1,4,32,3,5
983,2,1,3,32,4,6
984,2,1,3,32,4,4
984,2,1,4,32,4,5
985,2,1,2,32,12,2
985,2,1,2,32,7,3
986,2,1,3,32,4,5
987,2,1,3,32,5,6
988,2,1,2,32,15,4
989,2,1,2,32,9,5
989,2,1,3,32,9,4
990,2,1,6,32,6,26
991,2,1,2,32,4,4
991,2,1,4,32,4,1
992,2,1,2,32,4,1
993,2,1,2,32,10,14
994,2,1,2,32,4,5
995,2,1,2,32,4,2
995,2,1,2,32,4,2
995,2,1,2,32,4,3
995,2,1,2,32,4,5
995,2,1,2,32,4,5
996,2,1,2,32,7,4
997,2,1,3,32,7,1
998,2,1,2,32,5,1
998,2,1,2,32,5,3
999,2,1,2,32,5,2
999,2,1,2,32,5,3
999,2,1,2,32,5,3
999,2,1,3,32,5,2
999,2,1,3,32,5,2
1000,2,1,3,32,6,5
1001,2,1,2,32,9,3
1002,2,1,2,32,4,4
1002,2,1,3,32,4,4
1002,2,1,3,32,4,4
1002,2,1,3,32,4,4
1002,2,1,3,32,4,4
1002,2,1,4,32,4,4
1003,2,1,2,32,4,2
1004,2,1,2,32,7,5
1005,2,1,2,32,7,3
1005,2,1,2,32,7,5
1005,2,1,3,32,7,2
1006,2,1,2,32,4,4
1006,2,1,2,32,4,5
1007,2,1,3,32,1,7
1008,2,1,3,32,8,4
1009,2,1,3,32,4,5
1010,2,1,2,32,7,1
1010,2,1,2,32,7,2
1011,2,1,2,32,4,3
1012,2,1,2,32,5,5
1013,2,1,2,32,7,4
1013,2,1,2,32,7,4
1013,2,1,2,32,7,4
1013,2,1,3,32,7,4
1014,2,1,2,32,7,5
1015,2,1,3,32,4,4
1016,2,1,3,32,6,4
1017,2,1,2,32,5,2
1017,2,1,2,32,5,2
1017,2,1,2,32,5,2
1017,2,1,2,32,5,2
1018,2,1,2,32,7,5
1019,2,1,2,32,4,3
1019,2,1,2,32,4,3
1019,2,1,2,32,4,4
1019,2,1,3,32,4,4
1020,2,1,2,32,5,5
1021,2,1,2,32,4,4
1022,2,1,2,32,4,2
1023,2,1,2,32,5,5
1024,2,1,2,32,4,3
1024,2,1,2,32,4,5
1024,2,1,2,32,4,5
1025,2,1,2,32,4,1
1025,2,1,2,32,4,2
1025,2,1,2,32,4,2
1025,2,1,3,32,4,1
1025,2,1,3,32,4,1
1025,2,1,3,32,4,1
1025,2,1,3,32,4,2
1026,2,1,2,32,8,5
1026,2,1,2,32,8,5
1026,2,1,3,32,6,5
1026,2,1,4,32,12,2
1027,2,1,2,32,5,4
1027,2,1,3,32,5,5
1028,2,1,2,5,5,5
1028,2,1,3,32,5,5
1029,2,1,3,32,4,5
1029,2,1,3,32,4,5
1029,2,1,4,32,4,4
1030,2,1,3,32,4,2
1030,2,1,4,7,4,1
1031,2,1,2,7,6,5
1031,2,1,2,12,6,5
1031,2,1,3,4,6,1
1031,2,1,4,32,6,2
1032,2,1,2,32,9,2
1033,2,1,2,32,3,5
1033,2,1,2,32,3,5
1034,2,1,2,32,6,2
1034,2,1,2,32,6,3
1035,2,1,2,32,4,3
1035,2,1,2,32,4,4
1035,2,1,3,32,4,4
1036,2,1,2,32,15,5
1037,2,1,4,32,4,2
1038,2,1,3,32,4,5
1039,2,1,6,32,15,4
1040,2,1,2,32,10,1
1041,2,1,3,3,4,3
1041,2,1,3,32,4,3
1041,2,1,3,32,4,4
1041,2,1,3,32,4,5
1041,2,1,4,4,4,1
1042,2,1,2,32,4,3
1043,2,1,2,32,6,5
1043,2,1,2,32,6,5
1043,2,1,2,32,6,5
1043,2,1,2,32,6,5
1043,2,1,2,32,6,5
1043,2,1,3,32,6,5
1043,2,1,3,32,6,5
1044,2,1,3,32,4,3
1045,2,1,2,32,7,3
1045,2,1,2,32,7,4
1045,2,1,3,32,7,1
1045,2,1,3,32,7,2
1045,2,1,3,32,7,3
1046,2,1,2,2,6,5
1046,2,1,3,32,8,5
1047,2,1,2,32,10,3
1047,2,1,2,32,10,4
1047,2,1,3,32,10,4
1047,2,1,3,32,10,4
