rmcase,adult,wcat,type,GENDER,var619,var210,isscard,havecard,var620,var677,var678,var680,confirmcard,var626,var624,var627,var635,var228,var226,var659,var660,var646,month.1,whtdy.1,wchma.1,nmcrb.1,month.2,whtdy.2,wchma.2,nmcrb.2,month.3,whtdy.3,wchma.3,nmcrb.3,month.4,whtdy.4,wchma.4,nmcrb.4,month.5,whtdy.5,wchma.5,nmcrb.5,month.6,whtdy.6,wchma.6,nmcrb.6,month.7,whtdy.7,wchma.7,nmcrb.7,month.8,whtdy.8,wchma.8,nmcrb.8,month.9,whtdy.9,wchma.9,nmcrb.9,month.10,whtdy.10,wchma.10,nmcrb.10,month.11,whtdy.11,wchma.11,nmcrb.11,month.12,whtdy.12,wchma.12,nmcrb.12,month.13,whtdy.13,wchma.13,nmcrb.13,month.14,whtdy.14,wchma.14,nmcrb.14,month.15,whtdy.15,wchma.15,nmcrb.15,month.16,whtdy.16,wchma.16,nmcrb.16
1042,1,1,2,1,1,1,1,1,4,,,,,,,,,,,,,1,2,32,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,6,2,32,6,5,2,32,6,5,2,32,6,5,2,32,6,5,2,32,6,5,3,32,6,5,3,32,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,1,1,2,1,1,1,1,1,1,,,,1,,1,1,2,,,,1,,3,32,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,5,2,32,7,3,2,32,7,4,3,32,7,1,3,32,7,2,3,32,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,10,2,2,6,5,3,32,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,3,2,32,10,3,2,32,10,4,3,32,10,4,3,32,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,1,2,32,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,8,2,15,4,3,2,32,4,5,3,32,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,1,1,2,1,1,1,1,1,1,,,,3,3,3,,1,1,1,1,,,3,32,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,1,1,2,2,1,1,1,1,3,,,,,,,,,,,,,1,3,32,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,1,2,32,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,4,3,32,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,2,3,32,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,1,2,32,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,2,3,32,4,5,3,32,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,2,2,32,6,5,2,32,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,2,2,32,4,5,3,32,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,1,1,2,2,1,1,1,1,3,,,,,,,,,,,,,4,2,32,9,1,2,32,9,5,3,32,9,3,3,32,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,1,3,32,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,1,1,2,2,1,1,1,1,3,,,,,,,,,,,,,1,2,32,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,1,3,32,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,1,1,2,2,1,1,1,4,,,,,,,,,,,,,,3,3,32,6,2,3,32,6,3,3,32,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,6,2,32,4,5,2,32,4,5,2,32,4,5,3,32,4,3,3,32,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,3,3,32,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,3,2,32,5,5,2,32,5,5,3,32,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,5,3,32,4,2,3,32,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,1,1,2,1,1,1,1,1,1,,,,1,,1,1,2,,,,1,,6,32,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,15,3,32,9,4,3,32,9,4,3,32,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,1,1,2,2,1,1,1,4,,,,,,,,,,,,,,5,6,32,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,10,3,32,5,1,3,32,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,10,6,32,6,2,6,32,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,4,2,32,7,32,3,32,7,4,4,32,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,1,2,32,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,12,2,32,6,40,3,32,6,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,3,2,32,4,4,3,32,4,5,4,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,1,3,32,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,1,3,32,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,1,1,2,2,1,1,1,4,,,,,,,,,,,,,,10,2,32,8,4,3,32,8,4,4,32,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1,1,2,2,1,1,1,1,3,,,,,,,,,,,,,3,3,32,4,1,3,32,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,1,1,2,2,1,1,1,4,,,,,,,,,,,,,,3,3,32,4,4,3,32,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,1,3,32,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,1,1,2,2,1,1,1,1,1,,,,1,,1,1,1,1,1,2,,,2,32,15,3,2,32,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,4,3,32,6,4,3,32,6,4,3,32,6,5,3,32,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,1,1,2,1,1,1,1,1,1,,,,1,,1,1,1,1,1,1,,,3,32,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,1,1,2,1,1,1,1,1,4,,,,,,,,,,,,,1,2,32,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,1,1,2,2,1,1,1,4,,,,,,,,,,,,,,2,2,32,10,1,2,32,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,1,1,2,1,1,1,1,1,3,,,,1,,1,,,,,,,4,2,32,7,4,3,32,7,5,4,32,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,1,1,2,2,1,1,1,1,3,,,,,,,,,,,,,4,2,32,6,4,2,32,6,5,3,32,7,4,3,32,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,1,1,2,1,1,1,1,1,4,,,,,,,,,,,,,2,3,32,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,1,2,32,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,1,1,2,2,1,1,1,1,1,,,,1,,1,1,2,,,,1,,6,32,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,1,1,2,2,1,1,1,1,1,,,,1,,1,1,2,,,,1,,2,32,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,3,3,32,7,1,3,32,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,3,4,32,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,1,2,32,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,1,1,2,1,1,1,1,1,1,,,,1,,1,1,1,1,1,1,,,2,32,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,1,1,2,2,1,1,1,1,1,,,,1,,1,3,1,1,1,2,,,3,32,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,2,3,32,4,4,3,32,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,1,1,2,2,1,1,1,4,,,,,,,,,,,,,,2,2,32,7,4,2,32,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,1,1,2,1,1,1,1,1,1,,,,1,,1,1,1,1,1,4,,,2,14,6,5,2,14,6,5,4,8,4,5,4,32,4,3,4,32,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,1,3,32,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,2,2,32,10,5,2,32,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,2,4,32,4,5,4,32,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,1,4,32,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,1,1,2,2,1,1,1,4,,,,,,,,,,,,,,2,2,32,4,3,3,32,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,1,1,2,1,1,1,1,1,4,,,,,,,,,,,,,1,2,32,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,1,1,2,2,1,1,1,1,3,,,,,,,,,,,,,5,2,32,4,4,3,32,4,4,3,32,4,4,4,32,4,4,4,32,4,4,4,32,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,5,3,32,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,3,3,32,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,6,3,32,4,5,3,32,4,5,3,32,4,5,4,32,4,5,4,32,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,1,3,32,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,1,1,2,2,1,1,1,1,3,,,,,,,,,,,,,5,2,32,7,4,2,32,7,4,2,32,7,4,2,32,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,1,2,32,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,1,3,32,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,1,2,32,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,2,2,32,13,2,3,32,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,1,2,32,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,2,2,32,6,2,3,32,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,5,3,32,4,5,3,32,4,5,3,32,4,5,4,32,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,1,1,2,2,1,1,1,4,,,,,,,,,,,,,,7,2,32,4,3,3,32,4,3,3,32,4,3,3,32,4,3,3,32,4,5,4,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,1,1,2,1,1,1,1,1,1,,,,1,,1,1,1,1,1,2,,,3,32,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,2,2,32,6,2,3,32,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,2,3,32,7,3,3,32,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,2,4,32,8,2,4,32,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,1,2,32,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,1,1,2,1,1,1,1,1,1,,,,3,4,1,2,2,,,,1,,6,32,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,2,6,32,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,4,2,32,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,1,1,2,2,1,1,1,1,3,,,,,,,,,,,,,2,3,32,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,1,1,2,1,1,1,1,1,1,,,,3,4,1,2,1,1,1,15,,,3,32,6,4,4,32,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,1,2,32,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,1,3,32,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,4,2,32,4,2,3,32,4,5,3,32,4,5,3,32,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,1,1,2,1,1,1,1,1,4,,,,,,,,,,,,,2,3,32,8,1,3,32,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,1,1,2,1,1,1,1,1,1,,,,1,,1,3,1,1,1,7,,,2,31,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,3,2,21,4,5,2,22,4,5,3,31,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,1,1,2,1,1,1,1,1,1,,,,1,,1,1,1,1,1,4,,,2,31,10,5,3,11,10,3,3,12,10,3,3,13,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,1,1,2,1,1,1,1,1,1,,,,1,,1,1,1,1,1,2,,,2,31,4,4,4,14,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,1,1,2,1,1,1,1,1,1,,,,1,,1,1,1,1,1,1,,,2,31,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,1,1,2,1,1,1,1,1,1,,,,2,1,1,1,1,1,1,2,,,2,31,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,1,1,2,1,1,1,1,1,1,,,,1,,1,1,1,1,1,1,,,2,30,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,1,1,2,2,1,1,1,1,1,,,,1,,1,1,1,1,1,1,,,2,30,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,1,1,2,1,1,1,1,1,1,,,,1,,1,1,1,1,1,2,,,2,7,6,5,2,30,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,3,2,31,4,5,3,1,4,4,3,30,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,1,1,2,2,1,1,1,1,1,,,,1,,1,1,2,,,,1,,2,30,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,1,1,2,1,1,1,1,1,1,,,,1,,1,1,1,1,1,1,,,2,30,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,1,1,2,1,1,1,1,1,1,,,,1,,1,1,1,1,1,1,,,3,30,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,1,1,2,1,1,1,1,1,1,,,,1,,1,1,1,1,1,4,,,2,6,7,5,2,27,7,5,2,28,7,5,2,29,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,1,2,29,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,1,1,2,1,1,1,1,1,1,,,,1,,1,1,1,1,1,1,,,2,29,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,1,2,29,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,1,1,2,1,1,1,1,1,1,,,,1,,1,1,1,1,1,1,,,2,29,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,1,1,2,1,1,1,1,1,1,,,,1,,1,1,1,1,1,1,,,2,29,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,1,1,2,1,1,1,1,1,1,,,,1,,1,1,1,1,1,3,,,2,2,4,5,2,22,4,5,2,29,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,1,1,2,2,1,1,1,1,1,,,,1,,1,1,1,1,1,2,,,2,29,4,2,2,30,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,1,1,2,2,1,1,1,1,1,,,,1,,1,1,1,1,1,2,,,2,7,3,1,2,29,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,1,1,2,1,1,1,1,1,1,,,,1,,1,1,1,1,1,2,,,2,29,5,5,2,30,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,1,2,29,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,1,1,2,1,1,1,1,1,1,,,,1,,1,1,1,1,1,1,,,2,29,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,2,2,15,4,2,2,28,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,1,1,2,2,1,1,1,1,1,,,,1,,1,1,1,1,1,2,,,2,10,8,3,3,28,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,1,1,2,1,1,1,1,1,3,,,,,,,,,,,,,2,2,28,4,4,2,29,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,1,1,2,2,1,1,1,4,,,,,,,,,,,,,,6,2,32,4,5,2,32,4,5,3,28,4,5,3,32,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,1,1,2,1,1,1,1,1,1,,,,1,,1,1,1,1,1,4,,,2,7,5,5,2,15,5,5,2,22,5,5,2,27,5,5,2,28,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
